Czas_Rejestracji;Liczba_Wolnych_Miejsc;Liczba_Poj_Wjezdzajacych;Liczba_Poj_Wyjezdzajacych;Nazwa
2016-11-27 00:00:00.023;224;0;1;Nowy Targ
2016-11-27 00:00:01.157;52;0;1;ul. św. Antoniego
2016-11-27 00:00:01.513;780;0;0;Parking Hala Stulecia
2016-11-27 00:01:34.550;554;0;0;Renoma
2016-11-27 00:05:00.017;225;0;1;Nowy Targ
2016-11-27 00:05:01.377;780;0;0;Parking Hala Stulecia
2016-11-27 00:05:01.727;52;1;1;ul. św. Antoniego
2016-11-27 00:10:00.020;226;0;1;Nowy Targ
2016-11-27 00:10:01.623;52;0;0;ul. św. Antoniego
2016-11-27 00:10:02.247;780;0;0;Parking Hala Stulecia
2016-11-27 00:11:34.537;524;0;0;Renoma
2016-11-27 00:15:00.013;227;0;1;Nowy Targ
2016-11-27 00:15:01.397;54;0;1;ul. św. Antoniego
2016-11-27 00:15:02.050;780;0;0;Parking Hala Stulecia
2016-11-27 00:20:00.020;230;0;3;Nowy Targ
2016-11-27 00:20:01.160;58;0;2;ul. św. Antoniego
2016-11-27 00:20:01.763;780;0;0;Parking Hala Stulecia
2016-11-27 00:21:34.553;514;0;0;Renoma
2016-11-27 00:25:00.017;232;0;2;Nowy Targ
2016-11-27 00:25:01.317;781;0;1;Parking Hala Stulecia
2016-11-27 00:25:02.050;58;0;0;ul. św. Antoniego
2016-11-27 00:30:00.017;233;0;1;Nowy Targ
2016-11-27 00:30:01.853;58;0;0;ul. św. Antoniego
2016-11-27 00:30:02.140;781;0;0;Parking Hala Stulecia
2016-11-27 00:31:34.287;463;0;0;Renoma
2016-11-27 00:35:00.033;234;0;1;Nowy Targ
2016-11-27 00:35:01.613;58;1;1;ul. św. Antoniego
2016-11-27 00:35:01.980;782;0;1;Parking Hala Stulecia
2016-11-27 00:40:00.017;234;0;0;Nowy Targ
2016-11-27 00:40:01.483;58;0;0;ul. św. Antoniego
2016-11-27 00:40:01.827;782;0;0;Parking Hala Stulecia
2016-11-27 00:41:33.987;528;0;0;Renoma
2016-11-27 00:45:00.017;235;0;1;Nowy Targ
2016-11-27 00:45:01.240;58;1;1;ul. św. Antoniego
2016-11-27 00:45:01.547;782;0;0;Parking Hala Stulecia
2016-11-27 00:50:00.017;236;0;1;Nowy Targ
2016-11-27 00:50:01.367;782;0;0;Parking Hala Stulecia
2016-11-27 00:50:02.103;60;0;1;ul. św. Antoniego
2016-11-27 00:51:33.673;512;0;0;Renoma
2016-11-27 00:55:00.013;236;0;0;Nowy Targ
2016-11-27 00:55:01.900;60;0;0;ul. św. Antoniego
